Sentence Index,Ground Truth Labels,wnv645,dmr693,klr543,rvm681,mnf573,cbs154,xnq518,xlp113,rqv789,gnk487,nmx551,ckb257,vbr942,kdx409,ldw372,zvd607,kvh190,QPF823,shm302,gwn787,Dmc453,QKJ272,kpd426,HWP426,mzn741,rxq534,vjx192,qmf382,krw564,glq414,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29
38,1,3,4,4,1,1,1,4,4,3,3,4,1,1,2,4,5,3,3,4,1,3,1,1,4,5,4,4,5,0,4,the most aggressively nerve-wracking and screamingly neurotic romantic comedy in cinema history .,the most nerve-wracking and screamingly neurotic in history,a cockamamie tone poem pitched precipitously between swoony lyricism and violent catastrophe ... the most aggressively nerve-wracking and screamingly neurotic romantic comedy in cinema history .,the most,precipitously,precipitously,between swoony lyricism and violent catastrophe,"cockamamie, nerve-wracking",most aggressively nerve-wracking and screamingly neurotic,"cockamamie, nerve-wracking",between swoony lyricism and violent catastrophe,swoony,most aggressively nerve-wracking and screamingly neurotic romantic comedy,"nerve-wracking, neurotic","cockamamie, precipitously, neurotic romantic comedy","romantic, aggressively",the most aggressively nerve-wracking and screamingly neurotic romantic comedy in cinema history,romantic comedy in cinema history,"""violent catastrophe""",the most aggressively nerve-wracking and screamingly neurotic romantic comedy,catastrophe,"""in cinema history""","""the most aggressively nerve-wracking and screamingly neurotic romantic comedy in cinema history""",violent catastrophe,the most aggressively nerve-wracking,cockamamie tone,nerve-wracking,most aggressively nerve-wracking,the most nerve-wracking
39,0,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,2,3,3,3,3,3,2,3,2,2,2,3,3,3,i do n't have an i am sam clue .,I don't have clue,i do n't have an i am sam clue .,do n't have,don't have,I don't have,no clue,,don't have,,-,,,?,i do n't have an i am sam clue .,,,i don't have,"""I don't have""",,I don't have a clue,"""i don't have""","""i do n't have "",  ""clue""",,don't,do n't have an i am sam clue,clue,clue,i don't have a clue ?
40,1,5,3,4,4,4,5,4,4,3,3,4,5,4,4,4,4,4,5,4,5,4,4,4,4,4,5,4,4,4,5,"delivers warm , genuine characters","delivers warm, genuine characters",genuine characters who lie not through dishonesty,"warm , genuine characters",delivers,delivers,delivers,"warm, genuine","warm , genuine characters","warm, genuine","delivers warm , genuine characters","warm, genuine","warm , genuine characters","warm, genuine","warm , genuine characters","genuine, happiness","delivers warm , genuine characters","delivers warm, genuine characters","""delivers warm, genuine characters""","warm , genuine characters",genuine characters,"""warm , genuine characters""","""warm , genuine characters "", ",genuine characters,"warm , genuine","warm , genuine characters",genuinely,"warm,genuine","delivers warm, genuine characters"
41,1,2,3,4,4,2,4,4,4,5,5,4,4,5,4,3,4,3,5,4,4,4,3,4,4,4,4,4,4,3,5,anybody who still retains a soft spot for precollegiate humor,"they'll register strongly, anybody still retains a soft spot",but they 'll register strongly with anybody who still retains a soft spot for precollegiate humor .,strongly,register strongly,register strongly,a soft spot for precollegiate humor,register strongly,register strongly,register strongly,they 'll register strongly,"Register strongly, soft spot","pleasures, fleeting","may be fleeting, register strongly",register strongly,"humor, soft spot","pleasures fleeting, register strongly with anybody who still retains a soft spot for precollegiate humor",register strongly,"""precollegiate humor"", ""the pleasures""",register strongly with anybody who still retains a soft spot for precollegiate humor,soft spot,"""register strongly with anybody""","""fleeting"", ""register strongly""",pleasures,soft spot,register strongly with anybody who still retains a soft spot for,pleasures,pleasures,precollegiate humor
42,0,1,2,1,2,2,2,2,2,3,3,2,2,2,3,2,3,1,1,2,2,2,2,1,1,1,2,2,4,1,3,the thrill is -lrb- long -rrb- gone .,thrill is long gone,the thrill is -lrb- long -rrb- gone .,gone,long,thrill,thrill is long gone,long gone,long gone,long gone,-,long gone,"thrill, gone",thill is long gone,the thrill is -lrb- long -rrb- gone .,gone,thrill is long gone,thrill is long gone,"""long gone""",,long gone,"""thrill is long gone""","""thrill is -lrb- long -rrb- gone""",,"thrill, gone",long -rrb- gone,thirll,thrill long gone,thrill isgone
43,1,4,4,4,4,4,4,5,4,2,2,4,4,5,5,4,2,4,5,4,4,4,2,4,4,4,4,5,3,3,5,much monkeyfun for all .,much fun for all,much monkeyfun for all .,for all,monkeyfun,monkeyfun,monkeyfun,fun for all,much monkeyfun for all,fun for all,much monkeyfun for all .,much monkeyfun,monkeyfun,fun,much monkeyfun for all .,"much, monkeyfun",,monkeyfun for all,"""monkeyfun for all""",monkeyfun,monkeyfun,"""for all""","""much monkeyfun for all .""",,much monkeyfun,monkeyfun for all,monkeyfun,monkeyfun,much fun for all
44,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,"a dreary , incoherent , self-indulgent mess of a movie","dreary, incoherent, self-indulgent mess",a dreary,meaningless,mess,"dreary, mess, meaningless","dreary , incoherent , self-indulgent mess of a movie",incoherent,"dreary , incoherent , self-indulgent mess",incoherent,"a dreary , incoherent , self-indulgent mess, a cacophony of pretentious , meaningless prattle","incoherent, pretentious, meaningless",meaningless,"dreary, incoherent, mess, pretentious, meaningless","mess, meaningless","incoherent, self-indulgent, mess, inanely, pretentious meaningless","dreary , incoherent , self-indulgent mess, cacophony of pretentious , meaningless prattle","dreary, incoherent, self-indulgent mess ","""meaningless""","dreary , incoherent , self-indulgent mess",self-indulgent,"""incoherent"", ""pretentious"", ""prattle""","""dreary , incoherent , self-indulgent mess "", ""pompous windbags"", ""drone on inanely"", ""pretentious , meaningless prattle""","a dreary , incoherent , self-indulgent mess of a movie","dreary , incoherent , self-indulgent mess","a dreary , incoherent , self-indulgent mess of a movie",self-indulging mess,self-indulgent mess,"dreary, meaningless"
45,1,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,this is a refreshingly novel ride .,refreshingly novel ride,though,refreshingly,refreshingly novel ride,refreshingly,refreshingly,"much of the way, refreshingly",refreshingly novel ride,"much of the way, refreshingly",a refreshingly novel ride,refreshingly,refreshingly,refreshingly novel,"much of the way , this is a refreshingly novel ride","refeshingly, novel",refreshingly novel ride,refreshingly novel ride,"""refreshingly novel ride""",refreshingly novel ride,novel,"""refreshingly""","""though"", ""refreshingly novel ride .""",a refreshingly novel ride .,refreshingly novel,refreshingly novel,refreshingly,refreshingly,refreshingly
46,1,4,5,4,4,5,5,4,4,4,5,4,5,5,4,4,4,4,5,4,5,5,4,2,4,5,4,4,5,4,4,mr. allen has surpassed himself,has surpassed himself with the magic he's spun,mr. allen has surpassed himself with the magic he 's spun with the hollywood empress of ms. leoni 's ellie .,surpassed,surpassed,surpassed,surpassed himself,first time in years,"surpassed, magic",first time in years,surpassed himself,"surpassed himself, magic",surpassed himself,"surpassed himself, magic",surpassed,magic,surpassed himself,surpassed himself with the magic he's spun,"""for sereval years""",surpassed himself with the magic,supassed,"""surpassed himself""","""surpassed himself"", ""magic he 's spun""",surpassed himself,surpassed,has surpassed himself,surpassed,surpassed himself,surpassed himself with magic
47,1,3,4,3,5,4,2,4,4,4,4,3,2,5,4,3,2,4,5,4,5,4,2,2,4,4,4,4,2,1,2,one scarcely needs the subtitles to enjoy this colorful action farce .,farce,one scarcely needs the subtitles to enjoy this colorful action farce .,scarcely needs the subtitles,enjoy,"enjoy, colorful",colorful action farce,scarcely needs,colorful action farce,scarcely needs,colorful action farce,colorful,scarcely needs the subtitles,"enjoy, colorful",colorful action farce,"enjoy, colorful",farce,colorful action farce,"""needs the subtitles""",scarcely needs the subtitles,colorful,"""colorful""","""scarcely needs the subtitles"", ""enjoy"", ""colorful""",enjoy,enjoy,enjoy,farce,farce,colorful action
48,0,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,1,2,2,2,2,2,2,3,1,1,it fails to lend the characters ' individual stories,"abruptly crosscuts, fails to lend dramatic resonance",it fails to lend the characters ' individual stories enough dramatic resonance to make us care about them .,fails,fails,fails,fails,abruptly,fails,abruptly,it fails to,it fails,fails,fails,fails to lend the characters ' individual stories,care,fails to,"it fails, to make us care about them","""it fails""",fails,fails,"""it fails""","""it fails to"", ""make us care about them""",,"abruptly, fails",it fails,dramatic,fails,fails
49,1,2,2,2,2,4,2,4,2,2,3,2,3,2,4,2,2,3,3,3,3,3,3,2,4,3,4,4,2,2,1,what might have been a predictably heartwarming tale is suffused with complexity .,predicatably heartwarming suffused with complexity,what might have been a predictably heartwarming tale is suffused with complexity .,suffused,complexity,complexity,suffused with complexity,,suffused with complexity,,suffused with complexity,complexity,suffused with complexity,suffused with complexity,what might have been a predictably heartwarming tale is suffused with complexity .,"heartwarming, complexity",suffused with complexity,suffused wit hcomplexity,"""might have been"", ""suffused with complexity""",suffused with complexity,suffused,"""what might have been""","""might have been"", ""predictably "", ""suffused with complexity""",,heartwarming,suffused with complexity,suffused,suffused with complexity,could be predictable but
50,0,1,2,2,1,1,1,2,4,4,4,1,2,1,3,2,3,2,1,2,2,1,2,1,2,2,2,4,1,1,2,generic sets and b-grade special effects,"generic sets, b-grade special effects",with generic sets and b-grade special effects,convincing,"front, convincing ",convincing,jason is about as convincing on the sci-fi front as tv 's defunct cleopatra 2525,b-grade,generic sets and b-grade special effects,b-grade,-,"about as convincing, generic",b-grade,"generic sets, b-grade special effects","generic sets, b-grade special effects","generic, b-grade, defunct","generic sets, b-grade special effects",generic set and b-grade effects,"""b-grade special effects""",generic sets and b-grade special effects,b-grade,"""generic sets and b-grade special effects""","""generic "", ""b-grade"", ""defunct """,generic sets and b-grade special effects,convincing,generic sets and b-grade special effects,generic,b-grade,"generic, b-grade"
51,1,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,this is simply the most fun you 'll ever have with a documentary !,simply the most fun,this is simply the most fun you 'll ever have with a documentary !,the most fun,"most fun, ever have",most fun,most fun you 'll ever have,must fun,the most fun,must fun,the most fun,most fun you'll ever have,most fun,most fun,most fun you 'll ever have,fun,most fun you'll ever have,most fun,"""the most fun you will ever have""",the most fun you 'll ever have with a documentary,most fun,"""most fun you'll ever have""","""the most fun you 'll ever have""",the most fun you 'll ever have,most fun,the most fun,most fun,the most fun,most fun
52,1,4,4,2,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,5,represents better-than-average movie-making,better-than-average,distracted audience .,better-than-average,better-than-average,better-than-average,better-than-average,better-than-average,better-than-average movie-making,better-than-average,better-than-average movie-making,Better-than-average,better-than-average,better-than-average,better-than-average,better-than-average,"better-than-average, does n't demand a dumb , distracted audience",better-than-average movie-making,"""better-than-average""",better-than-average movie-making,better-than-average,"""better-than-average movie-making""","""better-than-average"", ""does n't demand a dumb , distracted audience""",better-than-average,better-than-average,represents better-than-average movie-making,better-than-average,better-than-average,bettter-than-average
53,0,2,1,2,2,1,2,1,2,2,2,2,2,3,2,2,3,3,3,2,3,2,3,3,2,2,2,2,1,2,2,confused mediocrity,confused mediocrity,... the sum of the parts equals largely a confused mediocrity .,confused mediocrity,confused,mediocrity,confused mediocrity,confused,confused mediocrity,confused,confused mediocrity,confused mediocrity,mediocrity,confused mediocrity,... the sum of the parts equals largely a confused mediocrity .,"confused, mediocrity",confused mediocrity,confused mediocrity,"""confused mediocrity""",confused mediocrity,mediocrity,"""confused mediocrity""","""confused mediocrity""",confused mediocrity .,confused mediocrity,a confused mediocrity,confused mediocrity,confused mediocrity,confused mediocrity
54,0,1,3,2,2,1,1,2,2,2,2,2,2,2,2,2,3,2,1,2,3,2,2,2,2,2,2,2,1,1,3,this barbershop just does n't make the cut,doesn't make the cut,it may be an easy swipe to take,does n't make the cut,does n't make the cut,doesn't make the cut,does n't make the cut .,doesnt make the cut,does n't make the cut,doesnt make the cut,does n't make the cut,doesn't make the cut,,doesn't make the cut,does n't make the cut,make the cut,does n't make the cut,doesn't make the cut,"""doesn't make the cut""",,doesn't make the cut,"""just doesn't make the cut""","""does n't make the cut""",does n't make the cut .,does n't make the cut,does n't make the cut,doesn't make the cut,doesn't make the cut,this barbershop doesn't make the cut
55,1,5,4,5,4,5,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,a wonderful all-ages triumph,nearly impeccable cinematic experience,the fact that the rookie is a nearly impeccable cinematic experience -- and a wonderful all-ages triumph besides -- is a miracle akin to the story the film portrays .,nearly impeccable,impeccable cinematic experience,impeccable,impeccable cinematic experience -- and a wonderful,"impecable, wunderfull, miracle",nearly impeccable cinematic experience,"impecable, wunderfull, miracle","nearly impeccable cinematic experience, a wonderful all-ages triumph","impeccable, miracle","impeccable, wonderful, miracle","nearly impeccable, wonderful, miracle",impeccable cinematic experience,wonderful triumph miracle impeccable experience,"nearly impeccable, wonderfull, miracle",impeccable cinematic experience,"""a wonderfull all-ages triumph""",nearly impeccable cinematic experience,impeccalbe cinematic experience,"""nearly impeccable cinematic experience""","""nearly impeccable cinematic experience "", ""wonderful all-ages triumph"", ""a miracle akin to the story""",impeccable cinematic experience,impeccable,impeccable cinematic experience,impeccable,impeccable cinematic experience,triumph
56,0,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,2,2,1,1,2,1,1,1,2,2,2,1,0,1,director ron underwood manage to blow $ 100 million on this,how on earth director manage to blow million,how on earth,blow $ 100 million on this,blow,blow,did director ron underwood manage to blow $ 100 million on this,blow 100 milion,100 million,blow 100 milion,-,manage to blow,blow,blow,blow $ 100 million on this,blow,"how on eart, blow $ 100 million on this",blow $100 million on this?,"""blow $ 100 million on this?""",blow $ 100 million,to blow $ 100 million,"""blow $ 100 million""","""how on earth"", ""blow $ 100 million""",,blow,manage to blow,blow,blow,blow $ 100 million
57,1,3,3,4,3,4,2,4,4,3,3,3,2,2,4,3,2,3,4,3,3,2,2,3,4,4,4,4,3,1,4,"for all its failed connections , divine secrets of the ya-ya sisterhood is nurturing , in a gauzy , dithering way .","gauzy, dithering way",divine secrets of the ya-ya sisterhood is nurturing,nurturing,nurturing,nurturing,failed connections,failed,failed connections,failed,is nurturing,nurturing,failed,"failed connections, nurturing","sisterhood is nurturing , in a gauzy , dithering way","failed, nurturing, gauzy","nurturing , in a gauzy , dithering way","gauzy, dithering way","""for all its failed connections""","nurturing , in a gauzy , dithering way",nurturing,"""is nurturing , ""","""failed connections"", ""nurturing , in a gauzy , dithering way""",,nurturing,"is nurturing , in a gauzy , dithering way",nurturing,failed,"nurturing, gauzy"
58,0,1,3,3,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2,2,5,1,3,"as are its star , its attitude and its obliviousness .",obliviousness,its attitude and its obliviousness .,as are,obliviousness,obliviousness,obliviousness,oblibiousness,obliviousness .,oblibiousness,its obliviousness,obliviousness,obliviousness,Obliviousness,obliviousness,"attitude, obliviousness",,it's attitude and oblviousness,"""its obliviousness""",,obliviosness,"""obliviousness""","""its obliviousness """,,obliviousness,obliviousness,star,obliviousness,obliviousness
59,0,2,4,2,2,1,1,2,2,2,2,3,1,5,2,2,3,2,1,1,2,2,3,2,2,2,1,2,2,2,2,it 's a sitcom without the snap-crackle .,"sluggishly directed, it's a sitcom",it 's a sitcom without the snap-crackle .,sluggishly,without the snap-crackle,without the snap-crackle,without the snap-crackle,sluggishly,"sluggishly, without the snap-crackle",sluggishly,"sluggishly directed, without the snap-crackle",sluggishly,,sluggishly directed,sluggishly directed,sluggishly,"sluggishly, without the snap-crackle",sluggishly directed,"""it's a sitcom""",sluggishly directed,sluggishly directed,"""sitcom without the snap-crackle""","""sluggishly directed""",sluggishly directed,sluggishly,sluggishly directed,sluggishly directed,sluggishly,"sluggishly, without the snap-crackle"
60,1,3,4,5,2,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,4,5,5,4,4,5,5,4,5,a dream cast of solid female talent who build a seamless ensemble .,"dream cast, seamless ensemble",a dream cast of solid female talent who build a seamless ensemble .,dream cast,"dream cast, seamless ensemble",seamless ensemble,dream cast and seamless ensemble,dream cast,seamless ensemble,dream cast,seamlesss ensemble,"dream, seamless ensemble, talent","dream cast, solid female talent",dream cast,dream cast,"dream, solid, seamless, ensemble","dream cast, seamingless ensemble",dream cast,"""seamless ensemble""",dream cast,seamless ensemble,"""a seamless ensemble""","""dream cast"", ""solid female talent"", ""seamless ensemble""",dream cast,seamless ensemble,build a seamless ensemble,dream cast,dream cast,dream cast
61,0,2,3,2,2,2,1,2,2,1,1,2,2,2,2,3,2,2,1,2,2,2,2,1,2,2,2,2,2,3,2,"the plot is straight off the shelf , the performances are television - caliber and the message of providing solace through deception is a little creepy .","off the shelf, television - caliber, creepy",the plot is straight off the shelf,creepy,"deception, creepy ","straight off, a little creepy",the plot is straight off the shelf .. the message .. is a little creepy .,"off the shelf, creepy",deception，creepy,"off the shelf, creepy",is a little creepy,"off the shelf, deception","off the shelf, creepy","television-caliber, a little creepy","straight off the shelf, deception is a little creepy","off the shelf, creepy","slight off the shelf, performances are television - caliber, little creepy",little creepy,"""straight off the shelf""",plot is straight off the shelf,straight off the shelf,"""straight off the shelf""","""off the shelf"", ""creepy""",,deception,a little creepy,straight off the shelf,creepy,little creepy
62,0,1,2,2,2,1,2,2,4,2,2,2,2,2,3,2,1,3,2,1,2,2,3,2,2,2,2,2,1,1,2,the film 's more determined to become the next texas chainsaw massacre,instead of accounting,instead of accurately accounting a terrible true story,determined to become,instead of accurately accounting,instead of accurately,more determined,instead of accurately accounting,instead of accurately accounting,instead of accurately accounting,-,instead of accurately,next texas chainsaw massacre,?,instead of accurately accounting a terrible true story,become the next,"instead of accurately accounting, more determined to become",determined to become the next texas chainsaw massacre,"""become the next chainsaw massacre""",instead of accurately accounting a terrible true story,instead of accurately accounting,"""instead of accurately accounting""","""instead of "", ""become the next texas chainsaw massacre""",,instead of,instead of accurately accounting,terrible,terrible,chainsaw massacre
63,1,5,4,4,4,5,5,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,5,4,5,4,4,4,5,movie is well shot and very tragic,"well shot, one to ponder",the movie is well shot and very tragic,very,"well shot, very tragic","well shot, tragic",well shot,"well shot, ponder after credits roll",well shot,"well shot, ponder after credits roll",well shot and very tragic,"well shot, ponder",well shot and very tragic,Well shot,well shot and very tragic,"well shot, ponder",well shot,well shot,"""well shot and very tragic""",well shot and very tragic,well shot,"""well shot""","""well shot"". ""very tragic"", ""one to ponder""",well shot,well shot,is well shot,well shot,well shot,well shot
64,1,5,3,4,4,4,4,4,3,4,4,4,4,4,5,4,4,4,5,4,4,4,1,4,4,4,5,3,4,3,4,"it is ridiculous , of course ... but it is also refreshing",outright enjobale despite its ridiculousness,of course ... but it is also refreshing,just outright enjoyable despite its ridiculousness,"ridiculous, refreshing, disarming ","ridiculous, refreshing",just outright enjoyable despite its ridiculousness,"refreshing, disarming, enjoyable",just outright enjoyable despite its ridiculousness,"refreshing, disarming, enjoyable","refreshing , disarming , and just outright enjoyable","refreshing, enjoyable",outright enjoyable despite its ridiculousness,"refreshing, enjoyable, disarming","refreshing , disarming","rediculous refreshing, disarming, enjoyable","refreshing, disarming","resfreshing, disarming, and just outright enjoyable","""it is ridiculous""",enjoyable despite its ridiculousness,refreshing,"""refreshing"", ""disarming"", ""enjoyable""","""refreshing , disarming"", ""outright enjoyable""",enjoyable,despite,"refreshing , disarming , and just outright enjoyable",refreshing,enjoyable despite its ridiculousness,enjoyable despite its ridiculousness
65,1,5,4,4,4,5,5,5,4,4,4,5,5,4,3,4,4,4,5,4,5,4,5,4,4,4,4,4,4,4,5,everything you loved about it in 1982 is still there,everything you loved is still there,everything you loved about it in 1982 is still there,still there,still there,"loved, show it",everything you loved about it in 1982 is still there,loved,still there,loved,-,everything you loved,"loved, still there",loved,everything you loved about it in 1982 is still there,loved,everything…is still there,everything you loved about it,"""everything you loved about it in 1982 is still there""",everything you loved about it in 1982 is still there,loved about it,"""loved""","""everything you loved [...] is still there""",or everybody who wants to be a kid again,"loved, still there",everything you loved about it in 1982 is still there,everything you loved,everything you loved is still there,everything you loved is still there
66,1,4,4,4,4,4,5,5,4,4,4,4,5,4,5,4,5,4,5,5,5,4,4,4,5,4,4,4,4,4,4,slight but a pleasure,"is sophisticated, funny, a pleasure",funny and good-natured treat,slight but a pleasure,"funny and good-natured treat, pleasure ",slight but a pleasure,"sophisticated , funny and good-natured treat, a pleasure","sophisticated, funny",slight but a pleasure,"sophisticated, funny","sophisticated , funny and good-natured treat , slight but a pleasure","sophisticated, funny, pleasure","sophisticated , funny and good-natured","sophisticated, funny, good-natured",a pleasure,"funny, pleasure","sophisticated, funny, good-neatured treat, slight, pleasure","sophisticated, funny and good-natured treat","""slight but a pleasure""","sophisticated , funny and good-natured treat , slight but a pleasure",sophisticated,"""a pleasure""","""sophisticated , funny and good-natured treat"", ""slight, but a pleasure""",pleasure,"funny and good-natured treat, pleasure","sophisticated , funny and good-natured treat , slight but a pleasure",sophisticated,pleasure,slight but a pleasure
67,0,2,2,2,1,1,1,1,3,2,1,1,1,3,1,2,2,2,2,1,2,2,2,1,2,2,1,2,1,0,1,humourless and dull .,humourless and dull,humourless and dull .,humourless and dull,humourless and dull,humourless and dull,humourless and dull .,humorless and dull,humourless and dull,humorless and dull,"turgid little history lesson , humourless and dull","humourless, dull",humourless and dull,"humorless, dull","history lesson , humourless and dull","turgid, humourless, dull",humourless and dull,humorless and dull,"""humourless and dull""",humourless and dull,humourless,"""humourless and dull""","""humourless"", ""dull""",dull,humourless and dull,humourless and dull,dull,dull,humourless and dull
68,0,1,1,2,2,2,1,1,2,1,1,1,1,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,0,2,is n't really good enough,is n't really good enough to be in theaters,the cartoon that is n't really good enough to be on afternoon tv is now a movie that is n't really good enough to be in theaters .,is n't really good enough,is n't really good enough to be in theaters,isn't really good enough to be in theaters,is not really good enough to be in theaters,isnt really good enough,isn't really good enough,isnt really good enough,"is n't really good enough, is n't really good enough",isn't really good enough,is n't really good enough,isn't really good enough,is n't really good enough to be in theaters,good enough,is n't rally good enough,isn't really good enough,"""not really good enough""",is n't really good enough to be in theaters,not good enough,"""isn't really good enough""","""is n't really good enough""",is n't really good enough,is n't really good enough,is n't really good enough,isn't really good enough,not good enough,isn't really good
69,1,2,4,2,2,4,3,4,2,2,3,2,2,4,3,3,4,3,4,3,3,3,3,3,2,3,2,3,2,3,4,sensual performance,"a sensual performance, but we 're left wondering",but her inner journey is largely unexplored and we 're left wondering about this exotic-looking woman whose emotional depths are only hinted at .,largely unexplored,largely unexplored,"sensual performance, but",we 're left wondering,"unexplored, left wondering",sensual performance,"unexplored, left wondering",-,largely unexplored,sensual performance,"largely unexplored, sensual performance","a sensual performance,  inner journey is largely unexplored","wondering, performance, unexplored","sensual performance, unexplored, only hinted",a sensual performance,"""only hinted at",sensual performance,largely unexplored,"""is largely unexplored""","""sensual performance"", ""flimsy story"", ""her inner journey is largely unexplored"", ""we 're left wondering""",sensual performance from abbass buoys the flimsy story,but,largely unexplored and we 're left wondering about,largely unexplored,unexplored,sensual
70,1,3,3,4,3,4,4,4,4,3,3,4,4,4,4,3,4,3,4,4,4,4,3,3,4,3,4,4,1,4,4,a harmless and mildly amusing,midly amusing,a harmless and mildly amusing family comedy .,harmless and mildly amusing,"harmless, mildly",harmless and mildly,harmless and mildly amusing,mildly amusing,harmless and mildly amusing,mildly amusing,harmless and mildly amusing,mildly amusing,harmless and mildly amusing,"mildly amusing, harmless",mildly amusing,"harmless, amusing","harmless, amusing",harmless and mildly amusing,"""a harmless and middly""",mildly amusing family comedy,harmless,"""mildly amusing""","""harmless and mildly amusing""",mildly amusing,"harmless, amusing",mildly amusing,failed,mildly amusing,"harmless, midly amusing"
71,0,2,3,2,1,1,1,2,1,1,1,3,1,1,2,1,2,2,2,1,1,1,2,2,1,1,1,3,1,0,2,not ` terrible filmmaking,had a nightmare like this,but more like,nightmare,"nightmare, coming true",nightmare,not ` terrible filmmaking ' bad,"nigthmare, bad",nightmare,"nigthmare, bad",not ` terrible filmmaking ' bad,bad,bad,bad,"not ` terrible filmmaking ' bad,  ' i once had a nightmare like this , and it 's now coming true ' bad","bad, terrible, nightmare",nightmare,nightmare,"""bad"" x2",not ` terrible filmmaking ' bad,bad,"""i once had a nightmare like this and it's now coming true bad""","""' i once had a nightmare like this , and it 's now coming true ' bad""","more like , ' i once had a nightmare like this , and it 's now coming true ' bad .",terrible filmmaking,"i once had a nightmare like this , and it 's now coming true",terrible filmmaking,nightmare,nightmare bad
72,0,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,3,1,2,1,2,2,1,2,2,2,2,1,2,skip along the seine,"rather than, more or less slogs its way",rather than skip along the seine,uncomfortably,uncomfortably,uncomfortably,uncomfortably,"slogs, soggy",uncomfortably,"slogs, soggy",tongue uncomfortably in cheek,"slogs, soggy",tongue uncomfortably,slogs,"a movie that , rather than skip along the seine , more or less slogs its way through soggy paris , tongue uncomfortably in cheek .","slogs, soggy, uncomfortably",,tongue uncomforably in cheek,"""slogs its way through soggy paris""",logs its way through soggy paris,uncomfortably,"""tongue uncomfortably in cheek""","""slogs its way through soggy paris"", ""tongue uncomfortably in cheek""",less slogs its way through soggy paris,uncomfortably,slogs its way through,slogs,soggy,"slogs its way, uncomfortably"
73,1,4,4,4,4,5,5,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,succeed by following a feel-good formula with a winning style,"it does succeed, feel-good formula, winning style",it does succeed by following a feel-good formula with a winning style,succeed,winning style,"succeed, winning style",feel-good,"succeed, winning style",succeed,"succeed, winning style","does succeed, feel-good formula with a winning style","succeed, optimism",succeed,"succeed, feel-good, winning style",it does succeed,"feel-good, winning, role models, optimism","succeed, feel-good, winning style, role models, optimisms",succeed,"""feel-good formula""",feel-good formula,feel-good formula,"""it does succeed""","""it does succeed"", ""following a feel-good formula with a winning style"", ""offering [...] role models and optimism""",optimism,"feel-good, welcome role models, optimism",succeed by following a feel-good formula with a winning style,succeed,succeed,winning style
74,1,4,4,4,4,5,2,4,4,4,4,5,5,5,4,4,5,4,5,4,4,5,3,4,5,4,4,5,5,4,3,talented and terribly charismatic,qualities essential to movie stars and social anarchists,qualities essential to both movie stars and social anarchists .,talented and terribly charismatic,talented and terribly charismatic,charismatic,talented and terribly charismatic,charismatic,talented and terribly charismatic,charismatic,talented and terribly charismatic,"talented, charismatic",talented and terribly charismatic,"talented, charismatic",talented and terribly charismatic,"talented, charismatic",talented and terribly charismatic,talented and terribly charismatic,"""social anarchists""",,charismatic,"""talented and terribly charismatic""","""talented and terribly charismatic""",talented and terribly charismatic,talented and terribly charismatic,talented and terribly charismatic,terribly charismatic,talented,"talented, charismatic"
75,0,3,4,4,2,2,1,2,4,2,1,3,4,2,4,3,5,3,5,3,3,4,2,4,4,2,3,5,5,4,1,well acted,well intentioned snoozer,a well acted and well intentioned snoozer .,well,snoozer,snoozer,snooze,well acted,snoozer,well acted,well acted and well intentioned,"well acted, well intentioned","well acted, well intentioned",snoozer,well,"well acted, well intentioned, snoozer",snoozer,well acted,"""well intentioned snoozer""",snoozer,well acted,"""snoozer""","""well intentioned"", ""snoozer """,well intentioned,well acted and well intentioned,well acted and well intentioned snoozer,well acted,well acted,snoozer
